repositorio,url,pull_requests_aceitas
CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,5
Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,172
strapi/strapi,https://github.com/strapi/strapi,10381
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,709
ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,38
microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,505
fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,885
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,583
juliangarnier/anime,https://github.com/juliangarnier/anime,87
hakimel/reveal.js,https://github.com/hakimel/reveal.js,415
pallets/flask,https://github.com/pallets/flask,1633
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,0
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,4303
moby/moby,https://github.com/moby/moby,23048
daytonaio/daytona,https://github.com/daytonaio/daytona,2505
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,9759
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,9352
nektos/act,https://github.com/nektos/act,1061
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,144
666ghj/MiroFish,https://github.com/666ghj/MiroFish,27
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,228
prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,194
ansible/ansible,https://github.com/ansible/ansible,40061
swiftlang/swift,https://github.com/swiftlang/swift,60709
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,673
expressjs/express,https://github.com/expressjs/express,550
ruvnet/ruflo,https://github.com/ruvnet/ruflo,568
base/node,https://github.com/base/node,275
code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,2658
openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,438
chartjs/Chart.js,https://github.com/chartjs/Chart.js,3018
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,571
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,104
colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,458
gorhill/uBlock,https://github.com/gorhill/uBlock,0
apache/echarts,https://github.com/apache/echarts,1524
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,14716
headroomlabs-ai/headroom,https://github.com/headroomlabs-ai/headroom,1464
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,978
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,421
xtekky/gpt4free,https://github.com/xtekky/gpt4free,911
cline/cline,https://github.com/cline/cline,4487
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,269
santifer/career-ops,https://github.com/santifer/career-ops,1082
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,2392
facebook/docusaurus,https://github.com/facebook/docusaurus,5848
webpack/webpack,https://github.com/webpack/webpack,6357
microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,312
prometheus/prometheus,https://github.com/prometheus/prometheus,8844
LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,8057
dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,1165
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,1
Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,578
alacritty/alacritty,https://github.com/alacritty/alacritty,1937
lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,327
docling-project/docling,https://github.com/docling-project/docling,1140
kdn251/interviews,https://github.com/kdn251/interviews,42
localstack/localstack,https://github.com/localstack/localstack,6814
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,1568
shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,48
gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,1202
nocodb/nocodb,https://github.com/nocodb/nocodb,6484
traefik/traefik,https://github.com/traefik/traefik,5523
warpdotdev/warp,https://github.com/warpdotdev/warp,2178
tw93/Mole,https://github.com/tw93/Mole,335
ryanoasis/nerd-fonts,https://github.com/ryanoasis/nerd-fonts,610
keras-team/keras,https://github.com/keras-team/keras,5211
scrapy/scrapy,https://github.com/scrapy/scrapy,2814
rust-lang/rustlings,https://github.com/rust-lang/rustlings,952
mem0ai/mem0,https://github.com/mem0ai/mem0,2516
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,0
ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,675
commaai/openpilot,https://github.com/commaai/openpilot,13303
tldr-pages/tldr,https://github.com/tldr-pages/tldr,19515
asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,32
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,142
socketio/socket.io,https://github.com/socketio/socket.io,450
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,53
