repositorio,url,total_releases
usestrix/strix,https://github.com/usestrix/strix,26
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,214
romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k,33
ngosang/trackerslist,https://github.com/ngosang/trackerslist,0
jingyaogong/minimind,https://github.com/jingyaogong/minimind,2
TryGhost/Ghost,https://github.com/TryGhost/Ghost,999
facebookresearch/segment-anything,https://github.com/facebookresearch/segment-anything,0
WerWolv/ImHex,https://github.com/WerWolv/ImHex,82
wagoodman/dive,https://github.com/wagoodman/dive,28
lencx/ChatGPT,https://github.com/lencx/ChatGPT,34
maybe-finance/maybe,https://github.com/maybe-finance/maybe,28
psf/requests,https://github.com/psf/requests,19
vuejs/core,https://github.com/vuejs/core,292
ElemeFE/element,https://github.com/ElemeFE/element,145
odoo/odoo,https://github.com/odoo/odoo,0
google/material-design-icons,https://github.com/google/material-design-icons,16
mozilla/pdf.js,https://github.com/mozilla/pdf.js,88
agalwood/Motrix,https://github.com/agalwood/Motrix,28
necolas/normalize.css,https://github.com/necolas/normalize.css,0
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,116
JetBrains/kotlin,https://github.com/JetBrains/kotlin,300
chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,1
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,0
ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,38
aaif-goose/goose,https://github.com/aaif-goose/goose,146
dockur/windows,https://github.com/dockur/windows,126
microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,0
lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,113
sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,0
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,948
