repositorio,url,total_releases
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,0
Eugeny/tabby,https://github.com/Eugeny/tabby,209
unionlabs/union,https://github.com/unionlabs/union,113
twitter/the-algorithm,https://github.com/twitter/the-algorithm,0
datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,3
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,2
unslothai/unsloth,https://github.com/unslothai/unsloth,54
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,0
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,0
CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,0
strapi/strapi,https://github.com/strapi/strapi,540
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,30
fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,0
Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,7
ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,0
microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,0
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,55
juliangarnier/anime,https://github.com/juliangarnier/anime,37
hakimel/reveal.js,https://github.com/hakimel/reveal.js,51
pallets/flask,https://github.com/pallets/flask,38
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,0
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,56
moby/moby,https://github.com/moby/moby,308
daytonaio/daytona,https://github.com/daytonaio/daytona,205
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,218
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,566
nektos/act,https://github.com/nektos/act,97
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,0
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,32
666ghj/MiroFish,https://github.com/666ghj/MiroFish,3
prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,0
ansible/ansible,https://github.com/ansible/ansible,252
swiftlang/swift,https://github.com/swiftlang/swift,70
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,22
expressjs/express,https://github.com/expressjs/express,165
base/node,https://github.com/base/node,86
ruvnet/ruflo,https://github.com/ruvnet/ruflo,1000
openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,64
code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,235
chartjs/Chart.js,https://github.com/chartjs/Chart.js,117
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,75
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,0
apache/echarts,https://github.com/apache/echarts,125
gorhill/uBlock,https://github.com/gorhill/uBlock,288
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,50
colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,30
headroomlabs-ai/headroom,https://github.com/headroomlabs-ai/headroom,162
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,0
xtekky/gpt4free,https://github.com/xtekky/gpt4free,503
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,0
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,0
cline/cline,https://github.com/cline/cline,373
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,0
webpack/webpack,https://github.com/webpack/webpack,462
facebook/docusaurus,https://github.com/facebook/docusaurus,157
prometheus/prometheus,https://github.com/prometheus/prometheus,377
LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,0
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,1
dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,85
alacritty/alacritty,https://github.com/alacritty/alacritty,108
microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,0
Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,44
lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,0
santifer/career-ops,https://github.com/santifer/career-ops,35
kdn251/interviews,https://github.com/kdn251/interviews,0
localstack/localstack,https://github.com/localstack/localstack,106
docling-project/docling,https://github.com/docling-project/docling,206
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,34
gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,78
shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,0
nocodb/nocodb,https://github.com/nocodb/nocodb,198
traefik/traefik,https://github.com/traefik/traefik,552
warpdotdev/warp,https://github.com/warpdotdev/warp,56
ryanoasis/nerd-fonts,https://github.com/ryanoasis/nerd-fonts,39
keras-team/keras,https://github.com/keras-team/keras,93
tw93/Mole,https://github.com/tw93/Mole,61
scrapy/scrapy,https://github.com/scrapy/scrapy,52
rust-lang/rustlings,https://github.com/rust-lang/rustlings,46
mem0ai/mem0,https://github.com/mem0ai/mem0,381
commaai/openpilot,https://github.com/commaai/openpilot,63
