repositorio,url,ultima_atualizacao,dias_desde_ultima_atualizacao
chenfei-wu/TaskMatrix,https://github.com/chenfei-wu/TaskMatrix,2026-08-18T16:25:48Z,0.17
agentscope-ai/QwenPaw,https://github.com/agentscope-ai/QwenPaw,2026-08-18T19:55:37Z,0.02
MonitorControl/MonitorControl,https://github.com/MonitorControl/MonitorControl,2026-08-18T17:07:05Z,0.14
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,2026-08-18T13:22:25Z,0.29
NginxProxyManager/nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,2026-08-18T19:36:39Z,0.03
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,2026-08-18T14:45:53Z,0.24
lib-pku/libpku,https://github.com/lib-pku/libpku,2026-08-18T16:31:48Z,0.16
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,2026-08-18T18:16:53Z,0.09
K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,2026-08-18T20:16:28Z,0.01
TabbyML/tabby,https://github.com/TabbyML/tabby,2026-08-18T13:10:48Z,0.3
explosion/spaCy,https://github.com/explosion/spaCy,2026-08-18T14:53:18Z,0.23
halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,2026-08-18T13:22:14Z,0.29
SerenityOS/serenity,https://github.com/SerenityOS/serenity,2026-08-18T16:26:27Z,0.17
k3s-io/k3s,https://github.com/k3s-io/k3s,2026-08-18T18:56:06Z,0.06
mli/paper-reading,https://github.com/mli/paper-reading,2026-08-18T15:51:23Z,0.19
Pythagora-io/gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,2026-08-18T11:32:08Z,0.37
alibaba/easyexcel,https://github.com/alibaba/easyexcel,2026-08-16T05:26:31Z,2.63
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,2026-08-18T20:16:54Z,0.01
anoma/anoma,https://github.com/anoma/anoma,2026-08-18T16:19:22Z,0.17
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,2026-08-18T20:26:11Z,0.0
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,2026-08-17T07:00:01Z,1.56
bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,2026-08-18T18:39:23Z,0.07
binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,2026-08-18T18:04:29Z,0.1
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,2026-08-17T13:36:17Z,1.29
apache/kafka,https://github.com/apache/kafka,2026-08-18T18:51:15Z,0.07
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,2026-08-18T19:25:06Z,0.04
XX-net/XX-Net,https://github.com/XX-net/XX-Net,2026-08-18T02:51:51Z,0.73
microsoft/WSL,https://github.com/microsoft/WSL,2026-08-18T18:53:39Z,0.06
AFNetworking/AFNetworking,https://github.com/AFNetworking/AFNetworking,2026-08-17T21:10:06Z,0.97
nicolargo/glances,https://github.com/nicolargo/glances,2026-08-18T14:39:39Z,0.24
lutzroeder/netron,https://github.com/lutzroeder/netron,2026-08-18T16:14:30Z,0.18
langfuse/langfuse,https://github.com/langfuse/langfuse,2026-08-18T18:34:47Z,0.08
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,2026-08-18T13:38:35Z,0.28
MetaCubeX/mihomo,https://github.com/MetaCubeX/mihomo,2026-08-18T19:14:40Z,0.05
google/comprehensive-rust,https://github.com/google/comprehensive-rust,2026-08-18T18:46:38Z,0.07
remix-run/remix,https://github.com/remix-run/remix,2026-08-18T18:51:52Z,0.07
alibaba/nacos,https://github.com/alibaba/nacos,2026-08-18T16:10:23Z,0.18
motiondivision/motion,https://github.com/motiondivision/motion,2026-08-18T17:34:44Z,0.12
zeromicro/go-zero,https://github.com/zeromicro/go-zero,2026-08-18T14:49:37Z,0.23
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,2026-08-18T20:29:23Z,-0.0
waydabber/BetterDisplay,https://github.com/waydabber/BetterDisplay,2026-08-18T18:50:14Z,0.07
certbot/certbot,https://github.com/certbot/certbot,2026-08-18T20:30:49Z,-0.0
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,2026-08-18T15:13:49Z,0.22
linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,2026-08-18T18:28:25Z,0.08
qier222/YesPlayMusic,https://github.com/qier222/YesPlayMusic,2026-08-18T18:45:33Z,0.07
vbenjs/vue-vben-admin,https://github.com/vbenjs/vue-vben-admin,2026-08-18T18:36:13Z,0.08
cursor/cursor,https://github.com/cursor/cursor,2026-08-18T16:52:28Z,0.15
pear-devs/pear-desktop,https://github.com/pear-devs/pear-desktop,2026-08-18T20:30:58Z,-0.0
Leey21/awesome-ai-research-writing,https://github.com/Leey21/awesome-ai-research-writing,2026-08-18T19:37:26Z,0.03
datawhalechina/happy-llm,https://github.com/datawhalechina/happy-llm,2026-08-18T18:23:24Z,0.09
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,2026-08-18T11:28:08Z,0.37
binarywang/WxJava,https://github.com/binarywang/WxJava,2026-08-18T14:02:15Z,0.27
ibraheemdev/modern-unix,https://github.com/ibraheemdev/modern-unix,2026-08-18T09:22:03Z,0.46
adobe/brackets,https://github.com/adobe/brackets,2026-08-17T07:44:25Z,1.53
gulpjs/gulp,https://github.com/gulpjs/gulp,2026-08-18T13:22:41Z,0.29
tokio-rs/tokio,https://github.com/tokio-rs/tokio,2026-08-18T20:03:45Z,0.02
FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,2026-08-18T19:51:00Z,0.02
0xAX/linux-insides,https://github.com/0xAX/linux-insides,2026-08-18T15:29:32Z,0.21
